node1,node2,similarity,distance
hierarchical relationships,large-scale unstructured similarity scores,-0.1209,1.4972
hierarchical relationships,hyperbolic space,-0.1174,1.4949
Lorentz model,hierarchical relationships,-0.1467,1.5144
embeddings,hierarchical relationships,-0.1063,1.4874
hyperbolic space,large-scale unstructured similarity scores,-0.1252,1.5001
Lorentz model,large-scale unstructured similarity scores,-0.2858,1.6036
embeddings,large-scale unstructured similarity scores,-0.127,1.5014
Lorentz model,hyperbolic space,-0.2286,1.5675
embeddings,hyperbolic space,0.9798,0.2012
Lorentz model,embeddings,-0.2018,1.5503
hierarchical relationships,large taxonomies,0.9708,0.2418
hierarchical relationships,low dimensions,0.9784,0.208
large taxonomies,large-scale unstructured similarity scores,0.029,1.3936
large-scale unstructured similarity scores,low dimensions,-0.0589,1.4552
hyperbolic space,large taxonomies,-0.2308,1.5689
hyperbolic space,low dimensions,-0.1235,1.499
Lorentz model,large taxonomies,-0.2122,1.5571
Lorentz model,low dimensions,-0.2091,1.5551
embeddings,large taxonomies,-0.2177,1.5606
embeddings,low dimensions,-0.0996,1.483
large taxonomies,low dimensions,0.9846,0.1753
hyperbolic space,organizational structure,0.1488,1.3047
hyperbolic space,language families,-0.1689,1.529
Lorentz model,organizational structure,-0.2785,1.5991
Lorentz model,language families,-0.2213,1.5629
embeddings,organizational structure,0.1569,1.2985
embeddings,language families,-0.1475,1.5149
large taxonomies,organizational structure,0.9082,0.4285
language families,large taxonomies,0.9815,0.1925
low dimensions,organizational structure,0.9392,0.3487
language families,low dimensions,0.9805,0.1977
language families,organizational structure,0.9164,0.4089
