node1,node2,similarity,distance
Active Learning,Multi-Task Adaptive Filtering,0.99,0.1413
Active Learning,Dirichlet Process priors,0.041,1.3849
Active Learning,task-level feedback,-0.0226,1.4301
Dirichlet Process priors,Multi-Task Adaptive Filtering,0.0175,1.4018
Multi-Task Adaptive Filtering,task-level feedback,-0.1138,1.4925
Dirichlet Process priors,task-level feedback,-0.182,1.5376
Active Learning,task-specific system performance,-0.0062,1.4186
Multi-Task Adaptive Filtering,task-specific system performance,-0.0771,1.4677
Dirichlet Process priors,task-specific system performance,-0.0278,1.4337
task-level feedback,task-specific system performance,0.9039,0.4383
Utility Gain,task-specific system performance,-0.4152,1.6824
Utility Gain,scoring function,-0.3603,1.6494
scoring function,task-specific system performance,0.9411,0.3433
Utility Gain,benchmark datasets,0.9554,0.2985
benchmark datasets,scoring function,-0.2339,1.5709
