node1,node2,similarity,distance
Cyberspace,coordinate,0.0544,1.3752
Cyberspace,interact,0.7418,0.7186
Cyberspace,self-interested,0.9449,0.3321
Cyberspace,collaborative interactions,-0.1496,1.5163
coordinate,interact,0.5662,0.9315
coordinate,self-interested,0.2157,1.2525
collaborative interactions,coordinate,0.0617,1.3699
interact,self-interested,0.8799,0.49
collaborative interactions,interact,-0.2391,1.5742
collaborative interactions,self-interested,-0.1962,1.5468
adaptive agent architecture,contracting protocols,0.1196,1.327
adaptive agent architecture,middle agents,0.922,0.3949
contracting protocols,middle agents,-0.0105,1.4216
