node1,node2,similarity,distance
Bayesian setting,posterior estimation,-0.2956,1.6097
posterior estimation,techniques for posterior estimation,0.9456,0.3298
Bayesian setting,techniques for posterior estimation,-0.3612,1.65
likelihood evaluations,posterior estimation,-0.4037,1.6755
Bayesian setting,likelihood evaluations,0.0227,1.3981
likelihood evaluations,techniques for posterior estimation,-0.4544,1.7055
active regression,posterior estimation,-0.2031,1.5512
posterior estimation,query efficient,-0.2645,1.5903
active regression,likelihood evaluations,0.9085,0.4278
likelihood evaluations,query efficient,-0.3006,1.6128
active regression,query efficient,-0.1684,1.5287
active regression,techniques for posterior estimation,-0.2928,1.608
query efficient,techniques for posterior estimation,-0.1158,1.4938
posterior estimation,query strategies,-0.1997,1.549
Gaussian processes,posterior estimation,-0.136,1.5073
likelihood evaluations,query strategies,-0.0835,1.4721
Gaussian processes,likelihood evaluations,-0.3301,1.631
active regression,query strategies,0.0256,1.396
Gaussian processes,active regression,-0.3171,1.623
Gaussian processes,query strategies,0.0605,1.3708
query efficient,query strategies,0.8389,0.5676
Gaussian processes,query efficient,0.3801,1.1135
posterior estimation,real examples,-0.1959,1.5465
active regression,real examples,-0.2738,1.5961
query strategies,real examples,0.8588,0.5314
Gaussian processes,real examples,0.3747,1.1183
query efficient,real examples,0.9019,0.443
