node1,node2,similarity,distance
3D face model,facial expression,-0.0951,1.48
3D face model,video footage,0.1208,1.3261
3D face model,continuous optimization,-0.2194,1.5616
facial expression,video footage,-0.0586,1.455
continuous optimization,facial expression,-0.1426,1.5117
continuous optimization,video footage,-0.4005,1.6736
3D face model,animation system,0.2106,1.2565
animation system,continuous optimization,0.818,0.6034
animation system,performance-driven animation,0.4718,1.0278
performance-driven animation,synthetic character,0.0442,1.3826
performance-driven animation,relighting,0.811,0.6148
camera position,performance-driven animation,-0.2931,1.6081
animation system,synthetic character,0.0013,1.4133
animation system,relighting,0.8084,0.619
animation system,camera position,-0.0153,1.425
relighting,synthetic character,-0.1579,1.5218
camera position,synthetic character,0.1582,1.2975
camera position,relighting,-0.1007,1.4837
