node1,node2,similarity,distance
multiple moving objects,video,-0.6442,1.8134
multiple moving objects,noise,-0.3673,1.6537
multiple moving objects,uncertainty,-0.1906,1.5431
noise,video,-0.1988,1.5484
uncertainty,video,-0.1996,1.5489
noise,uncertainty,0.8153,0.6077
color values,multiple moving objects,-0.6497,1.8164
multiple moving objects,position information,-0.5959,1.7866
multiple moving objects,tracks,-0.6178,1.7988
color values,video,0.9406,0.3446
position information,video,0.8589,0.5313
tracks,video,0.8962,0.4557
color values,noise,-0.2486,1.5802
noise,position information,-0.1665,1.5274
noise,tracks,-0.1684,1.5287
color values,uncertainty,-0.3267,1.629
position information,uncertainty,-0.298,1.6112
tracks,uncertainty,-0.2695,1.5934
color values,position information,0.9345,0.3619
color values,tracks,0.7703,0.6778
position information,tracks,0.6986,0.7765
color values,probabilistic assignment,-0.1393,1.5095
position information,probabilistic assignment,-0.1511,1.5173
probabilistic assignment,tracks,0.4225,1.0747
