node1,node2,similarity,distance
set elements,symmetries,0.1032,1.3392
images,symmetries,0.0542,1.3754
equivariant functions,symmetries,-0.0193,1.4278
Deep Sets for Symmetric Elements layers,symmetries,-0.0833,1.4719
Deep Sets for Symmetric Elements layers,equivariant functions,-0.168,1.5284
equivariant functions,images,-0.3242,1.6274
Deep Sets for Symmetric Elements layers,images,-0.2001,1.5492
DSS layers,symmetries,-0.0358,1.4393
DSS layers,equivariant functions,-0.1774,1.5346
DSS layers,Deep Sets for Symmetric Elements layers,-0.1519,1.5178
DSS layers,images,-0.1531,1.5186
equivariant functions,set-learning architectures,-0.5456,1.7582
equivariant functions,point-clouds,-0.0692,1.4624
Deep Sets for Symmetric Elements layers,set-learning architectures,0.846,0.555
Deep Sets for Symmetric Elements layers,point-clouds,0.0296,1.3931
DSS layers,set-learning architectures,-0.0306,1.4357
DSS layers,point-clouds,-0.0217,1.4295
images,set-learning architectures,-0.1486,1.5157
point-clouds,set-learning architectures,-0.2278,1.5671
images,point-clouds,-0.0333,1.4375
