node1,node2,similarity,distance
TLS task,automatic news timeline summarization,0.1037,1.3389
automatic news timeline summarization,date selection,-0.082,1.471
automatic news timeline summarization,date summarization,0.8518,0.5443
automatic news timeline summarization,evaluation metrics,-0.1417,1.5111
TLS task,date selection,0.0838,1.3536
TLS task,date summarization,0.4372,1.0609
TLS task,evaluation metrics,-0.0035,1.4167
date selection,date summarization,-0.0404,1.4425
date selection,evaluation metrics,0.9881,0.1541
date summarization,evaluation metrics,-0.1051,1.4867
automatic news timeline summarization,benchmarks,0.6457,0.8418
TLS task,benchmarks,0.6261,0.8647
benchmarks,date selection,0.2833,1.1973
benchmarks,date summarization,0.7591,0.6942
benchmarks,evaluation metrics,0.2147,1.2532
TLS dataset,TLS task,0.1608,1.2955
TLS task,time periods,-0.0481,1.4478
TLS dataset,date selection,0.0492,1.379
date selection,time periods,-0.3811,1.662
TLS dataset,date summarization,0.0173,1.4019
date summarization,time periods,0.0866,1.3516
TLS dataset,evaluation metrics,-0.0072,1.4193
evaluation metrics,time periods,-0.3444,1.6397
TLS dataset,benchmarks,0.3341,1.154
benchmarks,time periods,-0.2452,1.5781
TLS dataset,time periods,-0.2276,1.5669
