node1,node2,similarity,distance
evaluation measures,large-scale meta evaluation,-0.0356,1.4392
large-scale meta evaluation,single-document,0.0528,1.3764
large-scale meta evaluation,multi-document,0.0864,1.3517
corpus,large-scale meta evaluation,-0.1722,1.5311
English,large-scale meta evaluation,-0.1287,1.5025
Chinese,large-scale meta evaluation,-0.0077,1.4196
large-scale meta evaluation,manual abstracts,-0.1076,1.4884
evaluation measures,single-document,0.9432,0.3369
evaluation measures,multi-document,0.9695,0.247
corpus,evaluation measures,0.0041,1.4113
English,evaluation measures,0.9779,0.2102
Chinese,evaluation measures,0.9623,0.2747
evaluation measures,manual abstracts,0.9252,0.3869
multi-document,single-document,0.8937,0.4611
corpus,single-document,-0.2084,1.5546
English,single-document,0.9079,0.4293
Chinese,single-document,0.9762,0.218
manual abstracts,single-document,0.8711,0.5077
corpus,multi-document,0.1238,1.3238
English,multi-document,0.9215,0.3964
Chinese,multi-document,0.9185,0.4037
manual abstracts,multi-document,0.9407,0.3444
English,corpus,0.0107,1.4066
Chinese,corpus,-0.0784,1.4686
corpus,manual abstracts,0.0249,1.3965
Chinese,English,0.9516,0.3113
English,manual abstracts,0.8966,0.4548
Chinese,manual abstracts,0.8774,0.4951
large-scale meta evaluation,quantitative results,0.9259,0.385
evaluation measures,quantitative results,-0.3159,1.6223
quantitative results,single-document,-0.2117,1.5567
multi-document,quantitative results,-0.1591,1.5225
corpus,quantitative results,-0.1009,1.4838
English,quantitative results,-0.426,1.6888
Chinese,quantitative results,-0.2956,1.6097
manual abstracts,quantitative results,-0.2901,1.6063
