node1,node2,similarity,distance
Frequency selectivity,deep learning,0.016,1.4029
Frequency selectivity,temporal filters,0.0126,1.4052
Frequency selectivity,intermediate features,0.9482,0.3219
Frequency selectivity,unwanted motion,0.9534,0.3053
deep learning,temporal filters,-0.5544,1.7632
deep learning,intermediate features,-0.199,1.5485
deep learning,unwanted motion,0.0299,1.3929
intermediate features,temporal filters,0.2121,1.2553
temporal filters,unwanted motion,0.0725,1.362
intermediate features,unwanted motion,0.9665,0.2587
Frequency selectivity,magnification factor,0.1239,1.3237
deep learning,magnification factor,0.9592,0.2857
magnification factor,temporal filters,-0.5638,1.7685
intermediate features,magnification factor,-0.0766,1.4674
magnification factor,unwanted motion,0.1682,1.2898
