node1,node2,similarity,distance
motion,scene structure,0.9331,0.3658
camera calibration,scene structure,0.1741,1.2852
calibration,scene structure,-0.4027,1.6749
camera calibration,motion,0.096,1.3446
calibration,motion,-0.315,1.6218
calibration,camera calibration,0.6479,0.8391
ambiguities,motion,-0.0707,1.4634
motion,reconstructed scene,0.9837,0.1804
ambiguities,reconstructed scene,-0.1204,1.4969
ambiguities,calibration,-0.3607,1.6497
calibration,reconstructed scene,-0.2866,1.6041
estimation,motion,0.8952,0.4578
motion,vantage point,0.982,0.19
ambiguities,estimation,-0.0472,1.4472
estimation,reconstructed scene,0.8145,0.6091
calibration,estimation,-0.3384,1.6361
estimation,vantage point,0.809,0.6181
ambiguities,vantage point,-0.105,1.4866
reconstructed scene,vantage point,0.9935,0.114
calibration,vantage point,-0.336,1.6346
Euclidean reprojection,motion,-0.1205,1.497
Euclidean reprojection,estimation,0.1534,1.3012
Euclidean reprojection,ambiguities,-0.3318,1.6321
Euclidean reprojection,reconstructed scene,-0.1569,1.5211
Euclidean reprojection,calibration,0.0227,1.3981
Euclidean reprojection,vantage point,-0.2016,1.5502
Euclidean reprojection,linear algebra,0.343,1.1463
