node1,node2,similarity,distance
nineteenth-century British novels,social networks,0.6676,0.8154
dialogue interactions,social networks,-0.1763,1.5338
social networks,social networks,1.0,0.0
dialogue interactions,nineteenth-century British novels,0.0152,1.4034
character name chunking,social networks,-0.0195,1.428
quoted speech attribution,social networks,0.2486,1.2259
conversation detection,social networks,-0.0929,1.4785
character name chunking,nineteenth-century British novels,0.1263,1.3219
nineteenth-century British novels,quoted speech attribution,-0.0537,1.4517
conversation detection,nineteenth-century British novels,0.0481,1.3798
character name chunking,dialogue interactions,0.9771,0.2142
dialogue interactions,quoted speech attribution,-0.4299,1.6911
conversation detection,dialogue interactions,0.9577,0.2907
character name chunking,quoted speech attribution,-0.3927,1.6689
character name chunking,conversation detection,0.9675,0.2549
conversation detection,quoted speech attribution,-0.2812,1.6007
correlation,social networks,-0.0634,1.4584
correlation,dialogue interactions,0.9771,0.2138
character name chunking,correlation,0.9722,0.2356
correlation,quoted speech attribution,-0.3858,1.6648
conversation detection,correlation,0.9679,0.2534
alternative explanation,social networks,0.0638,1.3684
differences,social networks,-0.1315,1.5043
alternative explanation,correlation,-0.0562,1.4534
correlation,differences,0.9265,0.3835
alternative explanation,differences,-0.3308,1.6314
