node1,node2,similarity,distance
charging preferences,market mechanism,0.9626,0.2735
market mechanism,non-experts,-0.4777,1.7191
charging preferences,non-experts,-0.4424,1.6984
Bid2Charge,charging preferences,0.101,1.3409
charging preferences,fully expressive interface,-0.3213,1.6256
charging preferences,restricted interfaces,-0.0543,1.4521
Bid2Charge,non-experts,-0.6276,1.8042
fully expressive interface,non-experts,0.518,0.9818
non-experts,restricted interfaces,0.4872,1.0127
Bid2Charge,fully expressive interface,-0.2853,1.6033
Bid2Charge,restricted interfaces,-0.3038,1.6148
fully expressive interface,restricted interfaces,0.9265,0.3834
deliberation times,non-experts,0.1929,1.2705
non-experts,utility,0.5498,0.9489
Bid2Charge,deliberation times,0.0117,1.4059
Bid2Charge,utility,0.0032,1.412
deliberation times,fully expressive interface,0.0075,1.4089
fully expressive interface,utility,-0.1559,1.5205
deliberation times,restricted interfaces,-0.0575,1.4543
restricted interfaces,utility,-0.048,1.4478
deliberation times,utility,-0.0364,1.4397
