node1,node2,similarity,distance
Structured prediction,search-based structured prediction,-0.1676,1.5281
HC-Search,Structured prediction,-0.1704,1.5299
HC-Search,search-based structured prediction,0.0546,1.375
Structured prediction,search procedure,-0.3354,1.6343
Structured prediction,learned heuristic,-0.1721,1.5311
Structured prediction,learned cost function,-0.3172,1.6231
Structured prediction,final prediction,-0.0652,1.4596
search procedure,search-based structured prediction,0.0465,1.3809
learned heuristic,search-based structured prediction,-0.0157,1.4253
learned cost function,search-based structured prediction,-0.1644,1.526
final prediction,search-based structured prediction,-0.0024,1.4159
HC-Search,search procedure,0.8478,0.5517
HC-Search,learned heuristic,-0.0558,1.4531
HC-Search,learned cost function,-0.3079,1.6174
HC-Search,final prediction,-0.0155,1.4251
learned heuristic,search procedure,0.3102,1.1746
learned cost function,search procedure,-0.2943,1.6089
final prediction,search procedure,0.2618,1.2151
learned cost function,learned heuristic,-0.1456,1.5137
final prediction,learned heuristic,0.9403,0.3455
final prediction,learned cost function,-0.0308,1.4358
Structured prediction,regret,-0.1593,1.5227
regret,search-based structured prediction,-0.1711,1.5304
HC-Search,regret,0.0199,1.4001
regret,search procedure,0.2154,1.2527
learned heuristic,regret,-0.0532,1.4513
learned cost function,regret,-0.2524,1.5827
final prediction,regret,-0.2992,1.6119
imitation learning,search procedure,0.0182,1.4013
imitation learning,learned heuristic,-0.0845,1.4728
imitation learning,learned cost function,-0.0525,1.4508
final prediction,imitation learning,-0.074,1.4656
imitation learning,regret,-0.1549,1.5198
benchmark domains,regret,-0.0936,1.4789
benchmark domains,imitation learning,0.0785,1.3576
