node1,node2,similarity,distance
diffuse reflection,reflection components,0.9894,0.1457
diffuse reflection,photometric images,0.9929,0.1189
diffuse reflection,linear representation,-0.0288,1.4344
photometric images,reflection components,0.997,0.0776
linear representation,reflection components,-0.0271,1.4332
linear representation,photometric images,-0.0174,1.4265
diffuse reflection,reflectance parameters,0.1764,1.2834
diffuse reflection,separation,-0.3437,1.6393
reflectance parameters,reflection components,0.2734,1.2055
reflection components,separation,-0.3124,1.6201
photometric images,reflectance parameters,0.2339,1.2378
photometric images,separation,-0.3252,1.628
linear representation,reflectance parameters,-0.4413,1.6979
linear representation,separation,0.9045,0.4371
reflectance parameters,separation,-0.2676,1.5922
lighting directions,reflection components,-0.0514,1.4501
lighting directions,photometric images,-0.0533,1.4514
lighting directions,reflectance parameters,0.0756,1.3597
lighting directions,separation,-0.1925,1.5443
