node1,node2,similarity,distance
archeological tasks,facial reconstruction,0.2898,1.1918
archeological tasks,symmetry,0.8976,0.4526
facial reconstruction,symmetry,0.0189,1.4008
archeological tasks,slippage features,0.1529,1.3016
archeological tasks,spin-image descriptors,0.089,1.3498
facial reconstruction,slippage features,-0.2214,1.5629
facial reconstruction,spin-image descriptors,-0.5494,1.7604
slippage features,symmetry,0.2928,1.1893
spin-image descriptors,symmetry,0.114,1.3312
slippage features,spin-image descriptors,0.1186,1.3277
