node1,node2,similarity,distance
safety,temporal logic,0.2298,1.2412
maintenance,safety,-0.3335,1.6331
safety,software agents,-0.1934,1.5449
maintenance,software agents,-0.4074,1.6777
maintenance,temporal logic,-0.1479,1.5152
software agents,temporal logic,-0.2516,1.5821
maintainability,safety,0.3176,1.1683
maintainability,maintenance,-0.2281,1.5673
maintainability,software agents,-0.281,1.6006
maintainability,temporal logic,0.9078,0.4294
control,maintenance,0.8336,0.5769
control,maintainability,0.1177,1.3284
control,software agents,-0.4809,1.721
maintainability,supportability,-0.1449,1.5132
automata theory,maintainability,-0.3613,1.65
control,supportability,-0.0482,1.4479
automata theory,control,-0.3472,1.6415
control,temporal logic,-0.0152,1.4249
automata theory,supportability,-0.291,1.6068
supportability,temporal logic,0.0056,1.4102
automata theory,temporal logic,-0.169,1.5291
