node1,node2,similarity,distance
ILP systems,rulesets,-0.1637,1.5256
ILP systems,recursive clauses,0.8267,0.5887
recursive clauses,rulesets,0.1483,1.3052
ILP systems,infinite recursion,0.0692,1.3644
ILP systems,knowledge discovery,0.9774,0.2126
infinite recursion,rulesets,-0.1852,1.5396
knowledge discovery,rulesets,-0.0455,1.446
infinite recursion,recursive clauses,0.267,1.2108
knowledge discovery,recursive clauses,0.7856,0.6549
infinite recursion,knowledge discovery,-0.0647,1.4592
Multiple Predicate Learning,recursive learning tasks,-0.1411,1.5107
instance graph,instance space,0.9993,0.0375
