node1,node2,similarity,distance
2D object detection,scene geometry estimation,-0.5118,1.7388
3D localization,scene geometry estimation,-0.4261,1.6889
scene geometry estimation,trajectory estimation,-0.5925,1.7847
scene geometry estimation,tracking,-0.5212,1.7442
dynamic scene interpretation,scene geometry estimation,-0.1486,1.5156
calibrated stereo rig,scene geometry estimation,0.2631,1.214
2D object detection,3D localization,0.965,0.2646
2D object detection,trajectory estimation,0.8893,0.4705
2D object detection,tracking,0.8417,0.5626
2D object detection,dynamic scene interpretation,-0.0413,1.4431
2D object detection,calibrated stereo rig,-0.1314,1.5043
3D localization,trajectory estimation,0.8571,0.5346
3D localization,tracking,0.7528,0.7031
3D localization,dynamic scene interpretation,0.0061,1.4099
3D localization,calibrated stereo rig,-0.0741,1.4657
tracking,trajectory estimation,0.9495,0.3178
dynamic scene interpretation,trajectory estimation,0.0342,1.3898
calibrated stereo rig,trajectory estimation,-0.5024,1.7334
dynamic scene interpretation,tracking,-0.094,1.4792
calibrated stereo rig,tracking,-0.4828,1.7221
calibrated stereo rig,dynamic scene interpretation,-0.0609,1.4566
scene geometry estimation,structure-from-motion,0.0905,1.3487
2D object detection,structure-from-motion,-0.1842,1.539
3D localization,structure-from-motion,-0.3801,1.6614
structure-from-motion,trajectory estimation,-0.1108,1.4905
structure-from-motion,tracking,0.0997,1.3419
dynamic scene interpretation,structure-from-motion,-0.257,1.5855
calibrated stereo rig,structure-from-motion,-0.2473,1.5794
calibrated stereo rig,object recognition,0.8868,0.4759
object recognition,structure-from-motion,-0.2809,1.6005
object recognition,tracking,-0.6831,1.8347
3D localization,global optimization criterion,-0.4941,1.7286
global optimization criterion,tracking,-0.653,1.8183
