node1,node2,similarity,distance
Multiplication,deep neural networks,-0.0678,1.4614
Multiplication,multiplication-less deep networks,-0.2768,1.598
deep neural networks,multiplication-less deep networks,-0.0885,1.4754
Multiplication,ShiftAddNet,-0.2165,1.5598
ShiftAddNet,deep neural networks,0.1395,1.3119
ShiftAddNet,multiplication-less deep networks,-0.0863,1.474
Multiplication,bit-shift,-0.1514,1.5175
Multiplication,additive weight layers,-0.0782,1.4685
bit-shift,multiplication-less deep networks,-0.0844,1.4727
additive weight layers,multiplication-less deep networks,-0.3116,1.6196
ShiftAddNet,bit-shift,0.0431,1.3834
ShiftAddNet,additive weight layers,-0.043,1.4443
additive weight layers,bit-shift,-0.2645,1.5903
Multiplication,energy-efficient inference,-0.1799,1.5361
ShiftAddNet,energy-efficient inference,0.1502,1.3037
bit-shift,energy-efficient inference,-0.0497,1.4489
additive weight layers,energy-efficient inference,-0.2755,1.5972
ShiftAddNet,energy measurements,0.1358,1.3147
bit-shift,energy measurements,-0.1355,1.507
energy measurements,energy-efficient inference,0.8803,0.4893
Multiplication,energy measurements,-0.0367,1.4399
