node1,node2,similarity,distance
computer vision,natural images,-0.1598,1.523
3D scene model,natural images,0.0698,1.364
3D scene model,computer vision,-0.3115,1.6196
3D scene model,reflectance,-0.141,1.5106
3D scene model,image formation process,-0.2153,1.5591
3D scene model,realistic rendering,0.8261,0.5897
image formation process,reflectance,-0.1441,1.5127
realistic rendering,reflectance,-0.0795,1.4693
image formation process,realistic rendering,-0.1507,1.517
Bayesian framework,reflectance,-0.0782,1.4685
Bayesian framework,image formation process,0.8651,0.5194
Bayesian framework,realistic rendering,-0.3895,1.667
Bayesian framework,asteroid modeling,-0.3308,1.6314
