node1,node2,similarity,distance
generative model,paraphrase generation,0.3434,1.146
generative model,syntactic diversity,0.0073,1.409
generative model,syntactic sketch,-0.0676,1.4612
Hierarchical Refinement Quantized Variational Autoencoders,generative model,-0.1961,1.5466
discrete latent variables,generative model,-0.0721,1.4643
paraphrase generation,syntactic diversity,0.4348,1.0632
paraphrase generation,syntactic sketch,0.4028,1.0929
Hierarchical Refinement Quantized Variational Autoencoders,paraphrase generation,-0.0325,1.437
discrete latent variables,paraphrase generation,0.0282,1.3941
syntactic diversity,syntactic sketch,-0.1004,1.4835
Hierarchical Refinement Quantized Variational Autoencoders,syntactic diversity,-0.0425,1.444
discrete latent variables,syntactic diversity,0.1825,1.2787
Hierarchical Refinement Quantized Variational Autoencoders,syntactic sketch,0.1201,1.3266
discrete latent variables,syntactic sketch,-0.3695,1.655
Hierarchical Refinement Quantized Variational Autoencoders,discrete latent variables,-0.3792,1.6609
hierarchical representation,paraphrases,-0.0102,1.4214
hierarchical representation,human evaluation,-0.1187,1.4958
human evaluation,paraphrases,0.2825,1.1979
