node1,node2,similarity,distance
collaborative learning session,executable task models,-0.1313,1.5042
collaborative learning session,demonstration,-0.1885,1.5418
collaborative learning session,explanation,0.9507,0.3139
collaborative learning session,dialogue,-0.1293,1.5029
demonstration,executable task models,-0.0612,1.4569
executable task models,explanation,-0.3059,1.6161
dialogue,executable task models,0.8603,0.5285
demonstration,explanation,-0.0662,1.4603
demonstration,dialogue,-0.0493,1.4487
dialogue,explanation,-0.3122,1.62
deep natural language understanding,knowledge representation and reasoning,0.3558,1.1351
deep natural language understanding,dialogue systems,0.9968,0.0802
deep natural language understanding,planning/agent-based systems,0.2781,1.2016
deep natural language understanding,machine learning,0.3026,1.1811
collaborative learning session,deep natural language understanding,0.5069,0.993
deep natural language understanding,executable task models,0.347,1.1428
deep natural language understanding,demonstration,0.3416,1.1475
deep natural language understanding,explanation,0.5004,0.9996
deep natural language understanding,dialogue,0.3334,1.1546
dialogue systems,knowledge representation and reasoning,0.4019,1.0937
knowledge representation and reasoning,planning/agent-based systems,0.9636,0.2699
knowledge representation and reasoning,machine learning,0.9805,0.1973
collaborative learning session,knowledge representation and reasoning,-0.2606,1.5879
executable task models,knowledge representation and reasoning,0.9626,0.2734
demonstration,knowledge representation and reasoning,0.0349,1.3893
explanation,knowledge representation and reasoning,-0.4071,1.6776
dialogue,knowledge representation and reasoning,0.914,0.4148
dialogue systems,planning/agent-based systems,0.3129,1.1723
dialogue systems,machine learning,0.3436,1.1458
collaborative learning session,dialogue systems,0.4712,1.0284
dialogue systems,executable task models,0.3878,1.1065
demonstration,dialogue systems,0.3634,1.1284
dialogue systems,explanation,0.4612,1.038
dialogue,dialogue systems,0.3593,1.132
machine learning,planning/agent-based systems,0.9747,0.225
collaborative learning session,planning/agent-based systems,-0.1766,1.534
executable task models,planning/agent-based systems,0.9698,0.2456
demonstration,planning/agent-based systems,-0.1349,1.5066
explanation,planning/agent-based systems,-0.3475,1.6416
dialogue,planning/agent-based systems,0.934,0.3632
collaborative learning session,machine learning,-0.2491,1.5806
executable task models,machine learning,0.9814,0.1928
demonstration,machine learning,-0.0805,1.47
explanation,machine learning,-0.3942,1.6699
dialogue,machine learning,0.8717,0.5066
